,x0,x1,x2,k0,k1,k2,k3,k4
0,89,49,31,0.055774055050299406,0.057147791191791295,0.0018758644382256403,0.8770525708507242,0.008149718468959417
1,91,49,32,0.041409561017157794,0.04843859100391152,0.0015050510854498365,0.9020453858686022,0.006601411024878675
2,95,52,35,0.012822865363636032,0.021554826396479862,0.0005647573813484313,0.9624920456280742,0.0025655052304613263
3,93,52,34,0.020506506958104027,0.03015246973202764,0.0008403802789858908,0.9447205631292876,0.003780079901594883
4,92,50,33,0.031079391221011332,0.0402734849680414,0.0011936996211152418,0.9221609972355108,0.005292426954321357
5,92,49,32,0.03706117465933063,0.0456668339273635,0.00138869939025157,0.9097785530779186,0.00610473894513578
6,91,49,32,0.041409561017157794,0.04843859100391152,0.0015050510854498365,0.9020453858686022,0.006601411024878675
7,97,55,37,0.0034596795740949823,0.00737796524264722,0.00017100826136777473,0.9881937394007084,0.0007976075211815407
8,99,56,39,0.00034142491029529157,0.0008841754445364548,1.8506015299200914e-05,0.9986678626137278,8.803101614118984e-05
9,100,56,40,1.6534391534391536e-34,4.6638242570383805e-34,9.328271191500082e-36,999999999999999.9,4.473272198613287e-35
10,100,56,39,0.00016697123424769017,0.00045663824176508456,9.284798262310004e-06,0.999322836972426,4.4268753299035445e-05
11,101,57,40,0.0003207798920578314,0.0009821844151419999,1.8751237998216665e-05,0.9985878039760292,9.048047877280202e-05
12,101,56,39,0.00032624112448558477,0.0009421481508912636,1.860795993870245e-05,0.9986240820503752,8.892071430928057e-05
13,103,59,42,0.0032157106456268693,0.012420842652538403,0.000207401541952211,0.9831304455675602,0.0010255995923223636
14,103,59,42,0.0032157106456268693,0.012420842652538403,0.000207401541952211,0.9831304455675602,0.0010255995923223636
15,103,59,42,0.0032157106456268693,0.012420842652538403,0.000207401541952211,0.9831304455675602,0.0010255995923223636
16,103,59,42,0.0032157106456268693,0.012420842652538403,0.000207401541952211,0.9831304455675602,0.0010255995923223636
17,104,59,42,0.0041263124604758545,0.016883375193683565,0.00027255072687855695,0.9773669065865052,0.0013508550324568033
18,107,62,45,0.012964524344699165,0.07698265524858575,0.0009873785036475645,0.9039809247622053,0.005084517140862227
19,107,63,46,0.015146396457223087,0.09608767477300333,0.0011821917902633961,0.8814298475628777,0.006153889416632399
20,107,63,46,0.015146396457223087,0.09608767477300333,0.0011821917902633961,0.8814298475628777,0.006153889416632399
21,108,63,46,0.016230563192153304,0.1098332930983243,0.0012950108085683116,0.8658842068082324,0.006756926092721623
22,109,65,48,0.021334220723468526,0.17694984842921146,0.0018266459430570858,0.7901213604222634,0.00976792448199943
23,109,65,48,0.021334220723468526,0.17694984842921146,0.0018266459430570858,0.7901213604222634,0.00976792448199943
24,115,64,48,0.024967831872178794,0.30381092207214777,0.0023994393830650616,0.6558830168575466,0.012938789815061696
25,116,65,49,0.025749162639899046,0.36752590513678574,0.0025842246530618012,0.5900131094855336,0.014127598084719771
26,117,66,50,0.02578406943891594,0.4351098288471775,0.0027015030373944717,0.5214287580397543,0.014975840636757894
27,117,66,50,0.02578406943891594,0.4351098288471775,0.0027015030373944717,0.5214287580397543,0.014975840636757894
28,117,66,52,0.025574694352849852,0.47345439292061153,0.002749829007438361,0.4827523449981657,0.015468738720934377
29,116,66,56,0.02611614655302531,0.5163550905431386,0.002905034461593934,0.437829515741895,0.016794212700347203
30,116,66,56,0.02611614655302531,0.5163550905431386,0.002905034461593934,0.437829515741895,0.016794212700347203
31,116,67,57,0.025746558903293065,0.5514057481261769,0.0029325073595341178,0.40274422020196265,0.017170965409033172
32,117,68,58,0.02407769574293472,0.6141540770427365,0.0028618155550975866,0.34189055685707437,0.01701585480215682
33,118,71,58,0.02105217572159232,0.6922146273515658,0.0026286264814837116,0.2681801216492877,0.015924448796070478
34,119,72,58,0.018968739105543975,0.7346153355935157,0.002437581636527671,0.22909640800691533,0.0148819356574974
35,119,72,58,0.018968739105543975,0.7346153355935157,0.002437581636527671,0.22909640800691533,0.0148819356574974
36,118,70,56,0.02217937481085669,0.6490399714752793,0.002668772158883854,0.310282594003428,0.015829287551552176
37,118,70,56,0.02217937481085669,0.6490399714752793,0.002668772158883854,0.310282594003428,0.015829287551552176
38,123,75,61,0.010197771895610056,0.8819684461281386,0.0015100404078568727,0.096622164820089,0.009701576748305555
39,123,75,61,0.010197771895610056,0.8819684461281386,0.0015100404078568727,0.096622164820089,0.009701576748305555
40,123,75,61,0.010197771895610056,0.8819684461281386,0.0015100404078568727,0.096622164820089,0.009701576748305555
