,x0,x1,x2
k0,100.64383404362435,17.456396817788168,14.794701606769676
k1,53.003812487064096,95.47148354897594,204.99100427389192
k2,136.37492311051463,25.371325399299362,15.95131237891199
k3,98.000775844709,162.39357118835792,251.38932542200632
k4,35.67697255882494,65.47896921700638,156.3839720585422
k5,79.34977039947573,135.24280598403328,244.18055275382284
k6,18.291882409514617,31.393019959615504,84.7414862279799
k7,28.965036449240984,50.460439114706894,123.42143961201117
k8,42.88495677749642,79.29745768521764,181.86960165062203
k9,197.93907619908896,86.38835042192736,18.920209010002722
k10,64.72291444513675,113.19295297475026,225.62539164892283
