,x0,x1,x2
k0,150.0,149.0,1.0
k1,4.4784476084458635,39.6343309355234,238.47166827357844
k2,11.919569344939973,238.6974034896465,81.00257738468208
k3,64.0,50.0,78.0
k4,233.0,211.0,4.0
k5,11.126904895525657,238.4573919044243,155.66446871590801
k6,212.0,211.0,214.0
k7,87.99400932216854,75.15476546381491,6.398909701311824
k8,22.53170965095818,187.50676742020195,17.022724094101864
k9,10.293451899660598,10.699137323055723,136.7222488612822
k10,203.06776389647567,202.51722024210045,3.9847486806247137
k11,10.94244506066615,121.53882230364393,247.78308399137217
