,x0,x1,x2
k0,8.275911086408993,1.3528899831409757,164.72949139052574
k1,68.0,180.0,142.0
k2,20.0,96.0,54.0
k3,32.797892713012786,84.7923856321703,65.28956119463292
k4,15.727219890118121,55.16377718581526,40.17648030368749
k5,123.0,108.0,180.0
k6,57.0,64.0,168.0
k7,12.531032293997741,0.8700162230703589,202.87900741144836
k8,42.94704152640834,115.29431739226774,85.10291068319926
k9,76.0,108.0,224.0
k10,20.0,164.0,122.0
k11,36.0,100.0,223.0
k12,6.639962388568328,4.372781499841543,132.79269484135256
