,x0,x1,x2,k0,k1,k2,k3,k4,k5
0,68,93,75,0.5154294851638738,0.006607783975092838,0.4188126824067661,0.04275294657074526,0.014540730630047407,0.0018563712534746574
1,70,96,78,0.08765394183927958,0.0026933852744425884,0.8704472994697157,0.03252172404186762,0.005724584973137298,0.000959064401557313
2,71,99,80,0.03420204210503076,0.0016156466597836978,0.9252922449990441,0.034912290013559805,0.0032920553443808614,0.0006857208782008542
3,70,96,78,0.08765394183927958,0.0026933852744425884,0.8704472994697157,0.03252172404186762,0.005724584973137298,0.000959064401557313
4,60,84,66,0.7020407745953111,0.034739949232668425,0.1359463039389753,0.04539473351011379,0.07762877544583935,0.00424946327709197
5,68,92,74,0.6452729871541703,0.006884567547850464,0.29263004687134564,0.038046852849661326,0.015348711199753203,0.0018168343772190572
6,64,88,70,0.9141343347277476,0.005049125127020163,0.05522423135550649,0.013123394099908717,0.01155047481438327,0.000918439875433732
7,71,98,79,0.03930101402418783,0.001635028874596898,0.9266243380061107,0.02841215936587548,0.0033728688954666225,0.0006545908337624429
8,61,87,69,0.8668110327898765,0.010498505209994858,0.07661845812508607,0.020932382168010286,0.02349975005209375,0.001639871654938704
9,57,83,65,0.617954868900916,0.05448451855686315,0.15186764687403456,0.05544931682358652,0.11456627634128443,0.005677372503315357
10,64,92,73,0.9512775199749467,0.0013808032837695986,0.0381750249085474,0.005866931193576792,0.0029814929772564685,0.000318227661903079
11,76,105,86,0.02906417794026651,0.0029970338065041704,0.11664470027374457,0.8435417984650218,0.0057195537103199665,0.002032735804143221
12,70,98,78,0.028216541116088966,0.0010054193621572372,0.9534429080438482,0.014896075779183567,0.002057626595355918,0.0003814291033660832
13,74,102,82,0.08221554310945196,0.005994244691699326,0.5887518445343924,0.3080825562065563,0.011779104719106962,0.003176706738793005
14,66,95,74,0.5519590876556918,0.005583731312966619,0.3935113089164193,0.03584202777129526,0.011552913362547145,0.0015509309810799138
15,68,95,75,0.3422376858576442,0.005499177245118446,0.5966119022150042,0.04240771921990414,0.011589736962826891,0.0016537784995020646
16,76,104,84,0.05795095423649122,0.005393600415327761,0.26588085737335165,0.657030669777542,0.010377115353747907,0.003366802843539495
17,76,104,84,0.05795095423649122,0.005393600415327761,0.26588085737335165,0.657030669777542,0.010377115353747907,0.003366802843539495
18,67,94,74,0.5744589392250994,0.005861891381208543,0.36905842851701326,0.03656003945027047,0.01244637583313956,0.0016143255932688707
