,x0,x1,x2,k0,k1,k2,k3,k4,k5,k6
0,200,170,159,0.021739961147570624,0.008823464808745556,0.8393901578436347,0.012512819074075924,0.049372093961458856,0.06209026664609971,0.006071236518414758
1,202,173,164,0.01719675409813513,0.0059032936470024035,0.8823608491157109,0.008373643790791254,0.03048887470935729,0.051600678989650366,0.004075905649352547
2,206,178,167,0.01082379058745607,0.00299478063990285,0.9295608507182667,0.004208341919251138,0.014074182703030945,0.03625136132551602,0.0020866921065764315
3,209,182,169,0.01101125563017091,0.0025768280507152946,0.9288446962691539,0.0035945502917912567,0.011352464991964878,0.04081266839941788,0.0018075363667856865
4,214,185,171,0.016120042576879955,0.0031192808817532796,0.8915697473497087,0.0043031021522258305,0.012822355363125875,0.06985289325527262,0.0022125784210338065
5,213,182,166,0.003766085912834113,0.0008634808166783646,0.9745777337124231,0.0011891963951498402,0.0037352318155005316,0.015256313061276337,0.0006119582861377446
6,218,187,169,0.01708763356066469,0.0030669368684874535,0.8756805262317118,0.004181245575135513,0.012207605200753577,0.08558030441479965,0.0021957481484473217
7,224,199,182,0.07150261289873998,0.006602694081428888,0.3167874385920245,0.008937322986030255,0.022479398202407824,0.5689153624111355,0.0047751708282331344
8,226,195,177,0.05677891180498267,0.006262878094811511,0.4250055670633861,0.008432232966530463,0.021940950861587056,0.4770299067001378,0.004549552508564437
9,226,196,175,0.05409722547606603,0.006106871951122168,0.43257713803105347,0.008204064610575294,0.021455847734022686,0.47312094785132214,0.004437904345838274
10,228,196,174,0.052400273305171316,0.005853541216334615,0.40318462502349367,0.007828105604222107,0.02039632167729593,0.5060658490713444,0.0042712841021379675
11,227,196,173,0.0512809482858839,0.005964019319502296,0.44268157075984765,0.007983276285111578,0.020980379284542713,0.4667653189451016,0.004344487120010254
12,228,195,169,0.04633064808014062,0.005947479325448597,0.5122897156683776,0.007920438081580407,0.021175239476258923,0.4019907462172994,0.004345733150894456
13,227,194,168,0.04279786890905208,0.0058320023617305945,0.5785996965740994,0.007776676203028556,0.021070671074513336,0.3396686611591716,0.0042544237184045
14,226,193,166,0.03735801221703845,0.005520679896545324,0.6566427037631031,0.007363198841223018,0.02031021213282345,0.2687831176050263,0.004022075544240497
15,227,190,164,0.03140399546190448,0.00506718635381621,0.7268061706047878,0.006739704871595534,0.018907820084563095,0.20737237971041103,0.0037027429129219912
16,224,186,161,0.016223213500355077,0.003149854805581593,0.8747202224173007,0.004205369448615055,0.012383819971784093,0.08702626733418255,0.00229125252218105
17,220,184,157,0.00787093339333354,0.0018238900330814806,0.942975626343015,0.0024437699313799026,0.007588164177451717,0.035979648684362125,0.0013179674373763187
18,216,176,151,0.01053897249491754,0.0033277206415379705,0.9254402456427322,0.004467842349792562,0.015323478265504384,0.0385073532306228,0.0023943873748926434
19,211,170,147,0.02089964231827376,0.00842133078117167,0.8443000645788428,0.01137040431970857,0.043039199856094786,0.06595776885483368,0.006011589291074851
20,205,163,140,0.03695898905426584,0.02033533947350052,0.6802326538371787,0.027477439583615114,0.11966097897725905,0.1009260679198506,0.014408531154330205
21,201,159,136,0.042977649237085684,0.02836092596085463,0.5775921045133232,0.03833309785577188,0.18347745234354323,0.10927264873132327,0.019986121358098078
22,191,150,125,0.0445573131361343,0.045615106981419774,0.3469264263074279,0.06109381694704298,0.3714513702830658,0.09856418014937121,0.031791786195538026
23,187,146,121,0.04135944253780109,0.050255831048794344,0.27574035384520706,0.06687571664051817,0.44343458757148757,0.08742470064245823,0.034909367713733506
24,199,167,154,0.02713710511342017,0.012719285297254928,0.782542106462743,0.017959138772931253,0.07622373321220369,0.07466645633284111,0.008752174808605982
25,205,176,162,0.00927840325453808,0.002947455110421167,0.9369157112754745,0.004130261931168877,0.014625081036708815,0.030051404136814883,0.0020516832548736867
26,212,178,165,0.0025832936050354032,0.0006624060138960983,0.9827196791113905,0.0009149771478665358,0.0029750176970497794,0.009675903177742124,0.00046872324701958577
27,216,182,165,0.0030315606113058037,0.0006713470726563795,0.9789880678041276,0.0009172778971252079,0.0028425126640547476,0.013069954177110434,0.00047927977361991476
28,219,187,167,0.014562444568945648,0.002671561084281752,0.8920953301771463,0.0036267656999401407,0.01064271588267361,0.07448322079906738,0.0019179617879451917
29,224,192,173,0.04378509135806951,0.005857820190248979,0.6118209627631784,0.007901315449460334,0.021417986785715472,0.3049746922464728,0.004242131206854505
30,226,195,174,0.05155710869612405,0.00609398138487551,0.47439865572123935,0.008183788950501028,0.021596147840710258,0.4337408143765544,0.004429503029995245
31,232,199,180,0.050736575560235905,0.004255410387845443,0.18618297257976035,0.005669951171971486,0.014002532825645501,0.7360278720608099,0.003124685413731513
32,234,201,181,0.04181151965352553,0.0031389184474156194,0.11892981093906552,0.004167106646625548,0.010101225420492316,0.8195386480659098,0.0023127708269657563
33,235,205,180,0.027458563121644075,0.001879290218811033,0.06315603482330565,0.002483975733517264,0.005935685646423153,0.8976989925654818,0.0013874578908170663
34,233,203,180,0.03918851748274761,0.0029167850301318535,0.10922454828218293,0.003871954996082666,0.00938429117165377,0.8332681815509052,0.0021457214862959507
35,230,206,186,0.06036283363203939,0.003693021648468954,0.11244733676857141,0.004939076226489157,0.011644464076719131,0.8042124162574286,0.002700851390283344
36,233,207,187,0.04896999855715898,0.002664370307886534,0.07371596623364773,0.0035459443192135255,0.00822705451755664,0.8609179549753682,0.001958711089168465
37,231,201,179,0.04873392059919665,0.004054403588841107,0.17533183702116956,0.005401889426049958,0.013340102669809301,0.750165612230486,0.0029722344644474707
38,233,200,174,0.045278353495403885,0.004260599006485095,0.20751344380374406,0.005637174004504122,0.014159037342995569,0.7200132693308487,0.003138123016018485
39,232,202,175,0.04406816375579774,0.003915611025616631,0.17725872211446547,0.005188762192831168,0.012924802885802942,0.753765815356911,0.0028781226685749436
40,226,198,177,0.058330114933064385,0.005993835350717136,0.35519282077081066,0.008057131686097908,0.02069685342658941,0.5473750096112338,0.004354234221486646
41,232,222,209,0.48126641561544514,0.007055043543308277,0.09027414449929179,0.009404350794370535,0.01902910200433517,0.3877782307082259,0.005192712835023163
42,221,186,160,0.010571665164367586,0.0021944636854949024,0.9211927287334033,0.002943657886503426,0.008870657675375294,0.05264019954716258,0.0015866273076927948
43,219,179,153,0.008787068667468997,0.0024295550221447686,0.9378713812195992,0.0032486829941944513,0.01060674114968655,0.03529944810470347,0.0017571228422026824
44,215,175,147,0.017255573836453743,0.0060151269115969455,0.8761318275592161,0.00804116539334519,0.028419202450371807,0.05980678884024475,0.004330315008771665
45,209,165,141,0.033544772731046064,0.016520412028012185,0.7292535898838607,0.022156526198471048,0.09018989490532209,0.09652095895655775,0.011813845296730291
46,203,159,135,0.04354442466382099,0.0281404546522762,0.5834283610953958,0.037749585315952065,0.1752804073674807,0.11188459647849466,0.019972170426579616
47,197,153,129,0.04685623530640573,0.039431411558869096,0.44215516407786115,0.05274067433657074,0.28115166231702865,0.10986351614001194,0.027801336263252766
48,203,169,155,0.01971872444556267,0.008190600229337954,0.851641611515606,0.011448538880081278,0.04547329339523137,0.057832124124925444,0.005695107409255303
49,207,172,158,0.010330903528226413,0.0036232591452797515,0.9270506244241872,0.005030399026526901,0.018453772273625785,0.03296971029639419,0.00254133130575998
50,211,175,157,0.004625846211777943,0.0014596670220240807,0.9677637121187889,0.0020014868073687003,0.00700370165916829,0.01611141590240993,0.0010341702784622013
51,222,185,165,0.013309306962278389,0.002513407913586099,0.8995060439329565,0.003386406556677311,0.009960580646458954,0.0695064262008181,0.001817827787224718
52,229,189,164,0.034022378581398324,0.0054365951699229115,0.6999932932195541,0.007207007753174471,0.020088255176019813,0.22926317233395568,0.003989297765974771
53,234,195,167,0.04966027454136638,0.006117422914375167,0.4049053550337566,0.008045134325720097,0.021080957766597498,0.505666125789773,0.004524729628411325
54,233,199,173,0.046970092661420444,0.004640574837473013,0.2409207268890573,0.006137459612225298,0.015538308957640327,0.6823739187046852,0.0034189183374984645
55,238,208,183,0.013185158199440555,0.0007254279432742856,0.01973655529802395,0.0009548591292133025,0.0022111129859865566,0.9626487694779372,0.0005381169661242677
56,238,207,182,0.01377785584416806,0.0008041537262604254,0.022935238423802923,0.001058292431930344,0.0024684836474940953,0.9583593894294932,0.0005965864968509791
57,237,210,181,0.012583118622121619,0.0007108647383526572,0.019377593700634795,0.0009348667325202744,0.002170882925117552,0.9636960012177238,0.0005266720635292278
58,242,210,184,0.004357840589873753,0.00020741606710254995,0.00489677337830896,0.0002712775524791489,0.0006146292415224401,0.9894972034655354,0.0001548597051777152
59,240,210,181,0.0035733568428570743,0.00019323328877836427,0.00498483588337841,0.00025296820962167425,0.0005823743550841011,0.9902693533850057,0.00014387803527467503
60,239,209,180,0.007001991415304279,0.0004071575345821754,0.011193532911492684,0.0005337169812199749,0.0012410667091514868,0.9793198303499664,0.0003027040982830335
61,241,208,178,0.006854304554653929,0.0004245311106842545,0.011884880574529608,0.0005542593497623903,0.0012943825117752684,0.9786708500395365,0.0003167918590578946
62,243,216,196,0.14276145927018138,0.0034594057560843098,0.05774902634808356,0.00453463136731841,0.009643442867178179,0.7792673312109341,0.0025847031802201516
63,239,219,199,0.23544963361230936,0.004769787764688091,0.07427068434632159,0.006285621992051434,0.01320123233804627,0.6624796644097775,0.0035433755368057696
64,233,211,190,0.06892511837939627,0.0030207471955391394,0.07014639800994231,0.004017947198807953,0.009076309101062514,0.8425923857743286,0.0022210943409232417
65,233,208,188,0.05346062434839815,0.0027382017722139495,0.07195238578388545,0.003644329830407282,0.008390035062080402,0.8578014328661191,0.002012990336895644
66,229,202,182,0.05754817879876327,0.004467030040475356,0.177014651633633,0.005982220793179092,0.014622162912056274,0.7371042843509232,0.0032614714709697217
67,222,195,175,0.05213331094352047,0.006470033151429641,0.5418519777435202,0.008762742110802657,0.023402020806607117,0.3627153593231425,0.004664555920977288
68,218,181,161,0.0020069519697543965,0.0004711995888348481,0.9858450112790366,0.0006380916209886079,0.0020033038003922587,0.008696940186949666,0.0003385015540433925
69,212,173,152,0.011051328006543524,0.0038519996402348734,0.9209600979025018,0.005231109473003036,0.018840129576330373,0.03732040455200379,0.0027449308493826463
70,205,161,137,0.04090198426221167,0.024166305194563167,0.6325375147161444,0.03242573367328521,0.14393933418262642,0.10883576186665934,0.01719336610450974
71,197,156,131,0.04590509844143477,0.03616922366805885,0.47786008583928824,0.04870338659503427,0.25604532623521675,0.10994434175863711,0.025372537462329994
72,203,161,142,0.037253946739407774,0.021246794982664845,0.6677875708159037,0.028985751775394905,0.13040542866217242,0.09936425030423135,0.014956256720225053
73,208,165,146,0.028089292543616237,0.01307051625151786,0.7781540174257996,0.017752439713806016,0.07179405795898423,0.08185717602594658,0.009282500080329615
74,221,177,153,0.01138000328179724,0.00315862742266392,0.9197057481681107,0.004208222128641844,0.013655145291160038,0.04559601732122498,0.0022962363864012084
75,226,186,158,0.020762125327857248,0.004151123643611452,0.839296944010168,0.005500126431431922,0.016187070405564562,0.11106596263721052,0.0030366475441565557
