,x0,x1,x2,k0,k1,k2
0,62,85,59,0.772682353057857,0.18688413639050372,0.04043351055163924
1,63,86,58,0.7728835793232817,0.1879847945578374,0.03913162611888095
2,61,79,53,0.8539572265169503,0.11583728431954195,0.030205489163507862
3,57,82,50,0.8765843240387388,0.09891189431918397,0.024503781642077345
4,50,86,42,0.9124382348110794,0.07042378193643138,0.017137983252489285
5,55,82,37,0.9629096524571517,0.029290880133764553,0.007799467409083764
6,47,76,32,0.9611450297452822,0.02914718731139637,0.00970778294332131
7,45,82,28,0.9526390153001227,0.03638389756719401,0.01097708713268325
8,50,84,24,0.9687543478999676,0.024257231058237363,0.006988421041795
9,51,87,26,0.9620972402316426,0.030037397340338123,0.00786536242801931
10,52,87,23,0.9638903814196303,0.02850044725754957,0.0076091713228201175
11,54,86,21,0.9701308210373497,0.02342440215267846,0.006444776809971941
12,49,79,29,0.9727359787318226,0.02075351866953867,0.00651050259863865
13,45,68,16,0.9373662324462725,0.0433486104271577,0.019285157126569707
14,45,60,19,0.9197983557408691,0.05296907809457927,0.02723256616455161
15,43,68,29,0.9398233655609786,0.042685444552247216,0.017491189886774075
16,61,89,40,0.9163984726583905,0.06943508784089698,0.014166439500712502
17,72,112,50,0.46472675966740695,0.49866147715590453,0.03661176317668852
18,84,126,62,0.15836189969939482,0.8162028303391654,0.02543526996143961
19,89,131,65,0.10686213856966245,0.8724612399504443,0.020676621479893343
20,89,131,67,0.11458733639941443,0.8627477882328298,0.022664875367755903
21,85,126,66,0.1613257803065234,0.8108616188813589,0.027812600812117783
22,87,125,76,0.1876323568397172,0.7744772863278023,0.03789035683248043
23,88,120,79,0.21989433512725057,0.7347965072762156,0.04530915759653376
24,82,117,77,0.2716094530559045,0.6804149437395933,0.04797560320450218
25,74,113,58,0.39165949505110353,0.5691140295847944,0.03922647536410212
26,72,114,42,0.4791179046111716,0.4864610017878384,0.03442109360098998
27,74,113,46,0.44607376655056524,0.5191127195595,0.03481351388993471
28,76,118,44,0.35162973783890566,0.6163294271398336,0.03204083502126068
29,78,114,50,0.35791959663955836,0.6081498096696821,0.03393059369075945
30,72,113,55,0.42563364280117794,0.535950072305785,0.03841628489303709
31,74,113,58,0.39165949505110353,0.5691140295847944,0.03922647536410212
32,79,110,50,0.4073775269321652,0.5565614957073886,0.03606097736044637
33,72,106,46,0.5877005045481917,0.377227868924882,0.03507162652692626
34,59,100,32,0.8557884962631059,0.12410458121301769,0.020106922523876372
35,52,96,21,0.9061399022235719,0.0769362597032479,0.01692383807318032
36,62,102,31,0.8243359202280497,0.15305884747917853,0.02260523229277175
37,73,114,46,0.4429735926721279,0.522207744674475,0.034818662653397135
38,81,121,61,0.22312609715479342,0.745793957513624,0.0310799453315826
39,107,143,69,0.0574195721742052,0.925419132343436,0.01716129548235886
40,130,166,76,0.12279734724247894,0.8208612341514487,0.05634141860607234
41,139,177,68,0.13966477191262242,0.7892909559426383,0.07104427214473917
42,147,179,68,0.15262475072253034,0.7627119557691954,0.08466329350827434
43,147,182,62,0.1532955988812724,0.7619934023690653,0.08471099874966226
44,135,177,67,0.13398921199047367,0.8008552110702636,0.06515557693926287
45,133,168,66,0.11438761772276507,0.8322040033776997,0.053408378899535244
46,120,141,62,0.045608529146925605,0.9381196841383043,0.016271786714770097
47,96,116,55,0.136692409337888,0.8400962978094451,0.02321129285266704
48,70,89,34,0.9164005034500095,0.06986117589010175,0.013738320659888725
49,53,81,23,0.9839555810380501,0.01227415076860224,0.003770268193347576
50,45,85,12,0.9201376945692915,0.06036259414038733,0.019499711290321107
51,50,91,25,0.9388419134233879,0.04923329645479629,0.011924790121815859
52,62,96,36,0.8768079684205801,0.10547320825896893,0.017718823320451108
53,68,107,50,0.5852931558128059,0.3778524449607463,0.036854399226447766
54,75,107,57,0.4663387078080665,0.4923766927239653,0.041284599467968086
55,84,110,65,0.311149782630546,0.646158304786588,0.04269191258286615
56,91,106,67,0.2967168239484449,0.6548681268044605,0.04841504924709459
57,95,103,66,0.30081787024372125,0.6464040239756161,0.052778105780662665
58,90,91,73,0.44289076497246094,0.4811179878617895,0.07599124716574955
59,80,88,64,0.594563795624977,0.345670205796073,0.05976599857894995
60,75,76,58,0.7526321876580967,0.1949056163021813,0.05246219603972187
61,69,62,44,0.8846893663732728,0.08020392625169823,0.03510670737502915
62,70,53,35,0.8737033176068975,0.07910008508194705,0.04719659731115547
63,68,45,37,0.825599535103347,0.10175111700553403,0.0726493478911189
64,60,83,57,0.8064081927726613,0.15702179473974698,0.03657001248759173
65,63,86,58,0.7728835793232817,0.1879847945578374,0.03913162611888095
66,64,82,56,0.8078989498391093,0.1557771080345595,0.0363239421263313
67,58,84,49,0.8769581374291507,0.09977995050065962,0.023261912070189714
68,54,82,42,0.9340629179929008,0.052292233120732626,0.013644848886366636
69,52,80,39,0.9508410664267078,0.038323083450274936,0.010835850123017104
70,49,79,29,0.9727359787318226,0.02075351866953867,0.00651050259863865
71,44,82,25,0.949083130294825,0.03886406677992974,0.012052802925245144
72,48,82,22,0.9642051568236626,0.027315758467292353,0.008479084709045183
73,50,86,25,0.9626861950480047,0.029323570494414294,0.007990234457580918
74,52,87,23,0.9638903814196303,0.02850044725754957,0.0076091713228201175
75,54,86,21,0.9701308210373497,0.02342440215267846,0.006444776809971941
76,48,77,23,0.9704661406707573,0.021959075385484254,0.007574783943758435
77,44,66,17,0.9316079547571674,0.04682432318096184,0.021567722061870697
