,x0,x1,x2,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,168,158,94,0.0090071403174848,0.008852382888130228,0.025270502970358523,0.07501433216122197,0.02454745981293011,0.012682943416607686,0.7846042203969437,0.01644942600097886,0.012106928513039362,0.03146466352230489
1,190,198,117,0.02866926270772454,0.010766166412145867,0.03703021422647766,0.4453880228040037,0.02297146897889385,0.034974595569024755,0.12300922660828653,0.07277582071960842,0.013465865235520708,0.210949356738314
2,198,222,121,0.02290161246686498,0.0059572974381859305,0.019521231748004582,0.3059157882554712,0.011616323103286039,0.024224057105549927,0.04410993514866404,0.07428366309073894,0.0072438524682470065,0.4842262391749874
3,205,233,129,0.022984220059573155,0.004495253464228264,0.014464972469924418,0.14422237994408976,0.008378186654380485,0.021438072845505127,0.0276015417454893,0.09004829424122317,0.005384829679068017,0.6609822488965184
4,205,238,137,0.030956937096801786,0.00499500810160925,0.016492742780522558,0.12657130036760283,0.00913122257168985,0.027509408087276036,0.02823454624924938,0.14554958203146834,0.005928488728497536,0.6046307639852825
5,211,237,127,0.021643026105695042,0.004101821016597264,0.012547984595361427,0.11646009285445427,0.007530066507728067,0.01884384551414945,0.023856422210488965,0.08323970980358887,0.004905101639475265,0.7068719297524613
6,207,234,137,0.03486901821102796,0.005722063886458872,0.018837428324938153,0.14263530689556572,0.01053358962403789,0.030843716400068066,0.03338201372953923,0.15609444385290622,0.006813902602746054,0.5602685164727117
7,205,232,134,0.03059006753026298,0.005485823869921186,0.018113019372248247,0.15457670558881126,0.010200629599810926,0.028225227560580997,0.033303058443205524,0.12812936257167182,0.006555045912115652,0.5848210595513714
8,227,248,231,0.8013723377505602,0.0025462832950119965,0.00817372461573428,0.013062032378720398,0.004001367024117596,0.03418956190789796,0.008116268870888498,0.10551452265048403,0.002850409288289397,0.02017349221829569
9,202,253,194,0.028540480605549076,0.0008741791432329102,0.003194506149865042,0.007085737775894087,0.001448923545339361,0.012886277994888866,0.003318357146658065,0.9285612178410036,0.000990994140318282,0.013099325657250598
10,187,246,149,0.04744810162426898,0.0065833468577589475,0.024834371233346763,0.13701062383430138,0.0118283511860639,0.04984660956396371,0.03339050455703146,0.29122027685823315,0.007678299233631258,0.39015951505140045
11,204,254,185,2.670940170940171e-34,1.1097301136363638e-35,3.973299427844882e-35,1.0212418300653597e-34,1.8573543240247718e-35,1.3745704467353957e-34,4.3930940561437427e-35,999999999999999.9,1.2648038950017272e-35,2.083336657231708e-34
12,211,253,238,0.948744659138169,0.0006537475945661425,0.0022156577747271576,0.0031818561657810966,0.001016583985444511,0.011851407301026426,0.001989594268967751,0.02488836986196665,0.0007250069433788984,0.004733116965972763
13,206,255,244,0.9368113266500421,0.0008698341008821192,0.00296993707087413,0.004005816857479009,0.0013394491729995417,0.017269972043792565,0.002554325304560514,0.027411002673064903,0.0009596447224051029,0.005808691403900191
14,194,254,191,0.03573345503403175,0.0013814898926101603,0.005256738798706644,0.011745335181332943,0.002301325505426469,0.021902604491744717,0.005289005577280395,0.8933363758507938,0.0015643609649361847,0.02148930870313694
15,194,243,157,0.05472202418990865,0.00602061250525858,0.022576181250261767,0.10096666960476183,0.010736314053671705,0.0509108736306605,0.029951106592470644,0.45460117409109185,0.007012327215009043,0.2625027168669054
16,179,220,151,0.057364146739025595,0.010564510222277387,0.047414628672395036,0.21950625500238113,0.020350305326162218,0.0796132508065074,0.06824231111016436,0.2218978791631153,0.01252597544298449,0.26252073751498706
17,207,252,255,0.9078888514046948,0.0014820517035345636,0.004969067113690971,0.006200281941373568,0.002253862398444158,0.028554817665737586,0.004169176327008603,0.03418673672091769,0.0016279912760995647,0.008667163448498506
18,196,253,237,0.7230626019759808,0.003272668171338768,0.011898790031455247,0.015906898326102616,0.0051024228323136005,0.08285463526831714,0.009900009125458777,0.12142438061351786,0.0036138842497090064,0.022963709405806273
19,187,254,206,0.17807609491264748,0.004689661458174527,0.018537493882048187,0.032034709534171625,0.007651306059247872,0.1100800147039187,0.01644250561681222,0.5761859399776348,0.005250253930090629,0.05105201992525389
20,189,250,219,0.3523224609406318,0.005388144440701248,0.021116462819884343,0.03137495876396802,0.008665425292381696,0.15198852975004185,0.017914915086117436,0.35837524480790106,0.006000701374905123,0.04685315672346736
21,195,253,237,0.704463503762622,0.003482060495300252,0.01271885152729204,0.016901779654048685,0.005428890295900129,0.09035704256118803,0.010522139885582748,0.1279463506474827,0.0038437446263277475,0.024335636544255818
22,154,197,154,0.05681324407750322,0.018273710499341695,0.12396349907004461,0.208062604680213,0.03826876340270635,0.12314208578140907,0.1385324051463179,0.1301709112440439,0.02182302461994169,0.14094975147847857
23,123,146,123,0.02023320240842444,0.030006658457393295,0.20720047284530552,0.08044143512586864,0.09937378279914623,0.038750028575977535,0.4088105770202728,0.03226915696992683,0.03976083768210523,0.043153848115579506
24,81,99,70,0.000535323479414845,0.006193316171194926,0.003316475266714003,0.0016161273690855806,0.9668711538536942,0.0008577015777494686,0.004953237501568922,0.0007447965513346346,0.013902258695473247,0.001009609533770105
25,121,137,83,0.012850211726968715,0.034601290602185364,0.07666593538007975,0.06277396385241812,0.16718242172657335,0.020784322763518263,0.5203644877824106,0.020306005607415092,0.052700022218251805,0.031771338340178944
