,x0,x1,x2
k0,110.98625715743455,183.55112072455177,217.19098235671083
k1,11.823401252186832,16.565581329927426,11.576246763251095
k2,74.75050828839504,89.96059382491158,92.83310255670578
k3,93.66031655890681,111.68995444418867,112.08979891594502
k4,118.64964922848255,139.54069070806625,136.8634893082209
k5,26.89748291978813,46.0472281897446,43.033675857590794
k6,146.67244753147978,168.21103622525524,163.984304446086
k7,135.5685714472972,209.8024648190829,241.5483708602189
k8,28.191420537194702,34.717199996993415,24.538127325128496
k9,54.98619801836982,71.52722977904287,72.15065124744987
