,x0,x1,x2,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11
0,11,12,10,0.026589539432658127,0.005007421681764603,0.018306452268395952,0.6131085293396367,0.00719825808432413,0.04035402827802522,0.008712686728430244,0.014934947582556805,0.03480948760886415,0.006635354131503783,0.20825963596157224,0.016083658902268174
1,11,12,10,0.026589539432658127,0.005007421681764603,0.018306452268395952,0.6131085293396367,0.00719825808432413,0.04035402827802522,0.008712686728430244,0.014934947582556805,0.03480948760886415,0.006635354131503783,0.20825963596157224,0.016083658902268174
2,11,15,10,0.023924098119718695,0.004541411988001082,0.016683864589551817,0.6393077879799426,0.006543126731648672,0.03743462131513642,0.007931450876448176,0.013454264513088544,0.03200782993192462,0.006028397245466858,0.1974198671128071,0.014723279596265279
3,11,22,14,0.0164976035819489,0.003077184008489169,0.0112922895082454,0.7391857175075748,0.004475696485297338,0.02751862046541949,0.00543240196017669,0.009179227126947555,0.022327879431553847,0.004098775018185348,0.14661974160053698,0.010294863305624354
4,24,37,29,0.0015540065179111611,0.000268207686149323,0.0010724547146988466,0.965525232845793,0.00040327601197871174,0.003501082322588299,0.0005029723900056429,0.0008354405355189586,0.002450223807988719,0.00036802242638434756,0.022475479525426983,0.001043601215555822
5,27,51,42,0.02666802936526353,0.004388709913004471,0.017047672729024094,0.5548213904054293,0.006816699488579239,0.0827179684983243,0.008561881117679901,0.014083737785497761,0.04222604890847373,0.006102842768004908,0.217308971860736,0.01925604715998276
6,19,41,36,0.01063623545630121,0.0017175456843757674,0.006331520660898688,0.8324768372472492,0.0026125414901580313,0.023878379572369986,0.003210315475840852,0.005559592926638065,0.014362637588683188,0.0023364424371487423,0.09011411862009411,0.0067638328402421415
7,32,53,49,0.03802633870693309,0.005925838463157419,0.02327400875806514,0.41143698415001567,0.009340672933868716,0.1389962356040048,0.011847778198292868,0.01975961961517734,0.06044920432379658,0.008331469034105142,0.244759659348116,0.027852190864467292
8,168,190,185,0.0035293207751879935,0.037438145941365436,0.00526787766158694,0.002412867093654736,0.03333523868540378,0.0051735894204483325,0.06782261992918297,0.004542043249062249,0.00463441405306526,0.8202209143602512,0.002662545436007478,0.012960423394783652
9,158,180,175,0.0001964869906485533,0.0014945743457959759,0.0002985094058307752,0.0001328995379601888,0.001970567130938435,0.0003043307526924058,0.007608268817310146,0.00025236903683518693,0.0002664604058191924,0.9864628523903916,0.00014743335115135431,0.0008652478346263666
10,128,150,144,0.009576062324302392,0.020445873478252934,0.015171271557079608,0.006423268835855873,0.0491353343771204,0.019766427934961212,0.6424601162487649,0.01165855844243332,0.01519730388969379,0.08073035369038728,0.007273062289117025,0.12216236693203117
11,30,52,47,0.03460359271150287,0.005443776624262637,0.021188029310750967,0.4595901975909035,0.008538689086767803,0.1175880500254747,0.010777997346834605,0.018009493343842498,0.05399299500115613,0.007616648594860279,0.2377228709364021,0.024927659427241955
12,25,47,42,0.023351162496496245,0.0036974823048107823,0.014056444001906943,0.6287670350274812,0.005716368452558367,0.06410413381848423,0.007122681535387134,0.012135158748618018,0.03394854617379873,0.005104597175913827,0.1862502399072258,0.01574615035731876
13,27,49,44,0.028024878735470358,0.004420677434743808,0.016969496916725498,0.5571807443991018,0.006873356337941612,0.08331115152943835,0.00860740213505677,0.014561390118354632,0.04187096136846642,0.0061349834084537935,0.21268139011586107,0.01936356750038596
14,95,117,113,0.007563603950813096,0.004358206965436217,0.010078060243857306,0.005506354849238042,0.009233921086098879,0.034725455268043874,0.0190410335913046,0.007443109702789722,0.015427524879741344,0.008774102745632836,0.00637860131021511,0.871470025406829
15,123,143,138,0.015323584494611636,0.025168978719135756,0.024425096844012326,0.010312889439729838,0.05989068993645104,0.0345659581208447,0.39490842419478334,0.01823192690786654,0.025528977078953387,0.0823912520321746,0.0117545426713669,0.29749767956007
16,10,13,11,0.025992359228195764,0.0048573143434451835,0.017597362671967064,0.6274779622359804,0.0069933080112547915,0.039463679405959066,0.008449215496787007,0.014546743113232922,0.03354123464904718,0.006429518069542204,0.19901928317263812,0.01563201960195049
17,13,23,17,0.012751685232162588,0.002317824998890556,0.0085873467140299,0.7912748307459808,0.0033864460948492027,0.021676951130257,0.004121502129502414,0.007021595347639394,0.017285579293771006,0.0030975666171304023,0.1205795021609172,0.007899169534869457
18,93,110,101,0.022682982826207555,0.010638403866722162,0.03490154885564978,0.019157534178091632,0.020950181936582903,0.1601636692653471,0.04067189018027284,0.020402182127042298,0.0626007502536128,0.02057770849038802,0.022948893941817095,0.5643042540782659
19,124,145,137,0.014743135621684085,0.025040567449606987,0.024288825557908483,0.010094394006748417,0.05876064051981926,0.03346205087741376,0.42006398785541976,0.01745485197694401,0.025095351055361384,0.08444297836051193,0.011519097142949469,0.27503411957563256
20,30,53,45,0.032210419512777526,0.005246075476960743,0.02068171649623025,0.46869162560395394,0.00821111543211714,0.11163665902608648,0.010389872520746015,0.01698462621963541,0.052827214038712315,0.007349749676435827,0.2418190576437876,0.023951868352556676
21,23,45,40,0.01868584936493885,0.002974367444411527,0.01119481212286677,0.7022492286323453,0.004572991541671664,0.047689899643412456,0.005670618269133468,0.009721475844100004,0.026469879543059644,0.004085537913516647,0.15435705885932557,0.012328280821218215
22,21,43,38,0.014324621349767641,0.00229521843511591,0.00855033994346487,0.7724014958410009,0.0035097590424477054,0.03419489693187651,0.004332073986485935,0.007467127163815448,0.019798620849397208,0.003137208538339972,0.1207200764266114,0.009268561491676422
23,124,147,142,0.013002956089042724,0.02459838215146399,0.02003911280044514,0.00865923314726888,0.06039778232996302,0.027795508814711573,0.513969141113524,0.015722687417291627,0.020655178796785276,0.0862869848867486,0.009802749924792712,0.19907028252796255
24,104,126,121,0.001097835092595054,0.000886806050596577,0.0016005427103512446,0.0007681949872231235,0.0019763209728267664,0.0036876275533553678,0.00506032809566561,0.0011705926103013037,0.0020916326343011033,0.0020007435967273174,0.0008853887712612414,0.9787739869247953
25,43,65,60,0.046034242326505756,0.007545080251492465,0.030719797649002067,0.17510028952632717,0.012341700990840473,0.3739623367138519,0.01623100419764982,0.024937013720905902,0.08889754438522629,0.010990742794076207,0.16978993721400767,0.04345031023011447
26,124,144,139,0.014682916877606244,0.025142329882191502,0.0234261912808289,0.009871121312895373,0.05990195445423052,0.032583523003073725,0.4334866453821128,0.017546342869387183,0.024275735842237016,0.08473507485759751,0.011241757403495561,0.2631064068343436
