,x0,x1,x2
k0,155.62016949734192,194.38804792749565,151.04243967894718
k1,80.37969803647914,96.88958292987782,74.55593319974733
k2,54.539483906899164,74.96555047308335,58.69396346714293
k3,30.94229024736625,49.40833404686699,31.203737767780428
k4,115.06335043671939,136.34641221281902,103.04232588509873
k5,194.38810356261754,248.842569974135,193.49224816917965
k6,169.9990417046082,214.50958060809546,98.33311610548935
k7,24.74095972445006,70.10218716787558,66.06783566336048
k8,209.35968600168155,252.90761154551,237.77985087077388
k9,197.90674611753775,249.92204109508128,113.30491750472916
