,x0,x1,x2,k0,k1,k2,k3,k4,k5,k6,k7,k8
0,244,139,18,0.010444009953019398,0.9104591271992992,0.004355688852944619,0.054350587198933285,0.002514960679028404,0.0036983576155283082,0.008434528738390306,0.0026962854725356604,0.0030464542903206097
1,238,129,14,0.009575586660836254,0.9079902916197898,0.003576356596098086,0.06273443377335629,0.002051189603219153,0.003163058388957829,0.006385688998482058,0.0021666547491293515,0.00235673961013115
2,230,115,11,0.023467531416540788,0.7000116560267543,0.00746459428622718,0.23688877726066251,0.0042511998164658634,0.0069631139344359895,0.012007455364815426,0.004398838354180109,0.004546833539917933
3,216,99,8,0.025277643977392315,0.18143834276893483,0.006254012925556479,0.7615984749942785,0.0035066982455647347,0.006296219146482086,0.008678051240842343,0.003532646210791331,0.0034179104901573667
4,199,78,4,0.008631566877254434,0.013970812037756665,0.0013879618747692972,0.9706537729463717,0.000772275490180469,0.0015942102205327366,0.0015775811590116398,0.0007477407782266598,0.0006640786158964484
5,178,59,3,0.2193761652930493,0.08521288333885706,0.01841319041089525,0.6080509193019191,0.010136955280373615,0.024855282533244212,0.01691153186688572,0.009401642838930548,0.00764142913584514
6,156,44,1,0.6655180247721176,0.05072086566943575,0.019363209077758542,0.19043080102031082,0.010596934901028459,0.032389845171281774,0.014488654491997623,0.00942087411706062,0.007070790779008865
7,133,34,0,0.9698517589211272,0.004441844706510661,0.002645015415101437,0.012148884002636194,0.0014348197240841587,0.005754273442330244,0.0016364441663646574,0.001227836508928634,0.0008591231129167412
8,119,26,1,0.963097402587821,0.004825617458003748,0.003714758223783445,0.011496017903900447,0.002029546692626125,0.009975389193921564,0.002047962160638231,0.0016872854150563165,0.0011260203642491052
9,108,22,4,0.8781932395463729,0.013974142192645792,0.013005205862238696,0.030636329414624075,0.007092084122746821,0.04106725937970027,0.006545819486677552,0.00577293907449085,0.003712980920503028
10,103,21,3,0.8257797957017262,0.018733790847064002,0.01852103637790246,0.039859700646821865,0.010112450998885754,0.0645726351963967,0.009034252319575513,0.00817958975951349,0.005206748152113931
11,99,19,2,0.7720383718616546,0.0230094096056188,0.023867269272694964,0.047789567576087905,0.013125626468697787,0.09160597010926332,0.011372582425962887,0.010542729123063513,0.0066484735569562236
12,96,18,1,0.7322360000935432,0.025758815350111982,0.027561499503353425,0.0526329022217763,0.015219010156927159,0.11385095948691537,0.012929522696809219,0.012175352938996877,0.007635937551566523
13,95,20,1,0.7307552624100582,0.025783243952168168,0.027790022932803783,0.052535048690691415,0.015201473044833299,0.11513457898674671,0.012953238035221663,0.01219346490887398,0.007653667038602789
14,239,129,17,0.008563012685434723,0.9186779580955641,0.003262328208372458,0.054691478665525185,0.0018724970501517427,0.002844375197157637,0.005942915777863196,0.00198183739567563,0.0021635969242552932
15,233,120,10,0.0186598174927961,0.7889857797014086,0.006238027986254019,0.1588505073346574,0.003566091148799568,0.005761263117282215,0.0103205860460498,0.0037133885570368934,0.0039045386157155857
16,225,108,8,0.03143883995967173,0.4767668860229824,0.00900528220965185,0.44489862327807733,0.00511081651104508,0.0087333769383416,0.013567412792822009,0.005225331718481595,0.005253430568926322
17,213,91,7,0.014745656327763755,0.06452092705594399,0.0032599992580788664,0.9044082010579727,0.001834482388071065,0.003407000783897249,0.004281509474257438,0.0018239694037712009,0.0017182542502438406
18,196,75,3,0.02035771468856636,0.02653241739801986,0.0030076737284423344,0.9385577611527881,0.0016719654056881201,0.003546709125017854,0.0033073950452085343,0.001608434851509182,0.0014099286047594736
19,180,59,3,0.19954544827751486,0.0842814307425415,0.017566855588023875,0.6326300311437633,0.009715085208432733,0.023518815386118917,0.01635591347357404,0.009022329742392874,0.007364090437637758
20,158,47,2,0.6106467645948565,0.058223426079726866,0.02091325162963376,0.2312618377412484,0.01137719837730536,0.03367168483644417,0.016004655086384035,0.010183372614137334,0.007717809040263648
21,138,36,2,0.9380261303539479,0.009337655327801227,0.005141492217288706,0.02696327873838927,0.002784148131878982,0.010346588623245237,0.003300232660422015,0.0024005596898857605,0.0016999142571408065
22,121,29,4,0.9852942111957582,0.001972499208272453,0.0014868055574167602,0.004791124047718233,0.0008008092003003836,0.0037091405194606673,0.0008271958923634455,0.0006695613727328462,0.0004486530059771263
23,107,26,5,0.8889218909886529,0.012831950364778074,0.012033426999158681,0.028118383657939127,0.006432135730316677,0.03699762827556393,0.006004841558796255,0.005265720019709225,0.0033940224050849127
24,95,19,3,0.7266715539732662,0.025947301380679237,0.02851744287456681,0.05272606918751946,0.015610923025336046,0.1170907900135224,0.013179349998094024,0.01247401998755579,0.007782549559459977
25,88,20,3,0.6438521247223598,0.030226005284164616,0.03607195665217279,0.0593577568692497,0.019579105748165723,0.16984232999445953,0.015929710560487136,0.015559871955031912,0.009581138213908868
26,53,38,36,0.24801020238845475,0.03766438113788261,0.1000240382072168,0.06086521437264796,0.04440582720584215,0.4295781110130383,0.027505833648458346,0.03392924990607947,0.01801714212037965
27,14,12,11,0.004161339449883609,0.0008703239815308559,0.0021134568416453846,0.0013231057572489077,0.0012549038271968478,0.9882367639175176,0.0006484345243999031,0.0009108602214974289,0.000480811479079422
28,231,120,10,0.018369343489361388,0.7871878187923975,0.006085058302862293,0.16189424942594063,0.0034623403905414915,0.0056240660019738,0.009992079619546162,0.0036046330783505425,0.003780410899026242
29,226,111,7,0.03005897159834986,0.5462714174362617,0.008846136473826493,0.37737821819813633,0.005022024436780292,0.008539561663064873,0.013500993330455801,0.005153700869883593,0.0052289759932410175
30,218,99,6,0.02735630049509063,0.19973130167059458,0.0067929508287271284,0.7383362098622462,0.003833731434308762,0.00689838169620639,0.009445488639225112,0.0038603938524030233,0.003745241521198313
31,209,87,3,0.007745571454243874,0.024102320493279178,0.0015435560699912662,0.9604827237153802,0.0008682206154062908,0.0016854247733148033,0.0019247521195206617,0.000855515618119862,0.000791915140743672
32,194,72,2,0.036131195611637135,0.03932400386024476,0.004957187705683519,0.900599533776143,0.0027605745533241274,0.005991477424765781,0.005307733888007372,0.002639732795246347,0.002288560384947899
33,179,58,2,0.21842723973747089,0.0854971860828917,0.0183926511851897,0.6084429012190895,0.010184403173179927,0.025016320821343058,0.016931650864757345,0.009435274340491136,0.00767237257558679
34,160,50,2,0.5517305317697101,0.06573697391417999,0.022055098999612197,0.2777612060694777,0.011949300267601189,0.034462889980419735,0.017281793857265342,0.010769485643611625,0.00825271949812203
35,141,41,2,0.8933378578971422,0.016348925319644842,0.008254169788096082,0.04989181124962348,0.004420276526364949,0.015634870197055516,0.005477434177597372,0.003857003967606628,0.0027776508768690288
36,125,34,7,0.9983458125819369,0.00023227135845386654,0.0001642292318392104,0.0005875374836021572,8.681298145986868e-05,0.00036596633253983905,9.404735328879045e-05,7.345914534762909e-05,4.986353153153488e-05
37,39,92,146,3.270876723933145e-35,1.894441708028644e-35,999999999999999.9,2.1848409525998373e-35,1.098297638660077e-34,3.62923713435436e-35,3.5950033346461595e-35,1.1781969561630189e-34,3.0884215077673804e-35
38,199,187,187,0.008340783750787069,0.01701877292433709,0.014221217787102369,0.012012125894031032,0.008609420102691947,0.005156451942260449,0.8925470855004007,0.012619030322483862,0.029475111775905612
39,30,18,15,0.04930859808417686,0.00868065425433816,0.020324912452537876,0.013653351987129048,0.011246349248526574,0.8778352872561892,0.006239256380988853,0.008284242756728897,0.004427347579384573
40,12,7,6,7.415175209716089e-35,1.5726732299562797e-35,3.62923713435436e-35,2.3910914580584523e-35,2.2304998550175095e-35,999999999999999.9,1.1583697233029666e-35,1.6179006054823395e-35,8.626266982963121e-36
41,5,3,3,0.004752260910847815,0.001075844233266767,0.002471096803213628,0.0016153062618180069,0.0015739748508615166,0.9859676244822378,0.0008006106742912892,0.0011370718894670574,0.0006062098939960751
42,225,109,8,0.030862204408460502,0.49948891137499407,0.00891927945361715,0.4231544895238322,0.005057171621991707,0.008623766456677829,0.013496986369116499,0.0051775820748774315,0.005219608716432486
43,219,101,6,0.029415065499807456,0.2449904441320331,0.007502923492071824,0.6872637342375865,0.004234959991227839,0.007560409371976254,0.01057581491950994,0.004277667772823686,0.004178980582963583
44,213,93,4,0.01655562960520604,0.07608805514324442,0.0036730916174104416,0.8889163452376241,0.002067010445520675,0.003875952684542168,0.004816488945659451,0.002058523303165059,0.0019489030176277555
45,206,84,1,0.006069473832108144,0.014957548772842978,0.001121403877126044,0.9734299067209816,0.0006302902089014285,0.0012600164967625461,0.001350293450110402,0.0006171234512674808,0.0005639431898994731
46,194,72,2,0.036131195611637135,0.03932400386024476,0.004957187705683519,0.900599533776143,0.0027605745533241274,0.005991477424765781,0.005307733888007372,0.002639732795246347,0.002288560384947899
47,182,62,2,0.1586335184319574,0.07960762005288613,0.015195152949621824,0.6893363735301097,0.008396197834736023,0.02002091393146221,0.014484065648602685,0.007845604590720425,0.0064805530299036716
48,164,55,3,0.43986848146810115,0.07783532094589336,0.022984940942198617,0.3741212416418808,0.012378464800200542,0.03386021732300204,0.018842926191745324,0.01128944181733502,0.00881896486964322
49,146,46,8,0.7981365073957798,0.03125606136161703,0.014424621038086867,0.10283393150709076,0.007598417992875659,0.02414519108007672,0.009990910778146341,0.00671290971402005,0.00490144913230701
50,131,41,10,0.963157941311102,0.005474520466003329,0.0034451643797253095,0.014812859312210106,0.0017827697410821679,0.006642046842043952,0.002080400202479422,0.0015367886341291213,0.0010675091112247114
51,6,109,223,0.006894097338179081,0.005148984112911817,0.06342897317032044,0.005420378796676718,0.08145439489552397,0.008056380381295199,0.012688224966932815,0.7957220831165687,0.021186483221591314
52,157,170,178,0.009470302676920013,0.015462158537537143,0.022218398408208807,0.012117051818609894,0.011246897767008771,0.0060548000119392525,0.8701526216790417,0.017820044286905576,0.035457724813828626
53,181,173,174,0.0006189642859349192,0.0011947458613085274,0.0011456687293415848,0.0008707127456009429,0.0006262409306413714,0.0003736759236368747,0.9924125375833096,0.0009236240161335953,0.00183382992409273
54,4,4,4,0.004886190629136306,0.0011164645756796853,0.002604470841580582,0.0016715753847238795,0.0016537935707882975,0.985403234126845,0.0008357566993869537,0.0011940247748748799,0.0006344893969843216
55,1,1,1,0.010693149628384132,0.0025073104217830057,0.005727104696103894,0.003738845540240887,0.003715760510711991,0.9676289527757954,0.0018745825023867516,0.0026822033892308366,0.0014320905353630042
56,221,103,8,0.031132606184084467,0.31848151197149843,0.00830175181810997,0.6077233669426539,0.004690535526302079,0.00820571068254196,0.012015019945507525,0.0047583531246769475,0.004691143804624812
57,216,97,4,0.02403314440286037,0.14486813697285536,0.0056970931617493885,0.8022492148047744,0.003212983672585414,0.005903114350502917,0.0077177536498534895,0.0032212632037800716,0.0030972957810386664
58,212,92,3,0.014697868893263332,0.06182267253174258,0.00318084019219256,0.9075440780116023,0.001789699981038864,0.0033925639836193578,0.0041175479970291095,0.0017784093568379842,0.0016763190526741156
59,207,85,2,0.005883938220098243,0.0157204080916556,0.0011172270681555725,0.9728657993695633,0.0006278717219369823,0.0012408879633594668,0.0013622828429774457,0.0006161409588722679,0.0005654437633810074
60,198,77,3,0.012315731539359494,0.018443807506252314,0.0019188302401782684,0.9599237154264482,0.001068043938947607,0.002232118559356849,0.002153642572944684,0.0010316909904107328,0.0009124192261019033
61,187,71,2,0.0677691360185218,0.05554788479787488,0.008183710331981892,0.837593758235356,0.004491584386222029,0.010149478216659812,0.008348288881089475,0.004272103061884652,0.0036440560704094245
62,172,63,7,0.250709997896349,0.08737092709050708,0.02013056075549687,0.5683507871921656,0.010767343853775995,0.026515010444942474,0.018042358364379455,0.010019779759519908,0.008093234642863495
63,152,56,10,0.6079336664902097,0.06028807620826626,0.022857292490741907,0.22747313094191318,0.011797861593923136,0.033803710804880184,0.017094461428393028,0.010678379991002854,0.008073420050669808
64,92,225,255,1.0010874498014102e-35,1.2462456848743162e-35,3.0884215077673804e-35,1.0731597808400564e-35,2.2358359790725757e-35,8.626266982963121e-36,6.292909287510068e-35,4.806243314849947e-35,999999999999999.9
65,10,34,216,1.7314709365432467e-35,1.0506740073757318e-35,1.098297638660077e-34,1.2034819059269035e-35,999999999999999.9,2.2304998550175095e-35,1.989865530576473e-35,2.0489836084581463e-34,2.2358359790725757e-35
66,114,35,8,0.959944150071394,0.005183637218583278,0.004348848446652966,0.012024194233793861,0.002244987166170328,0.010848029926166684,0.0022812586513819913,0.0018808383501475753,0.001244055935709093
67,108,29,8,0.9050751338570419,0.011221065424500184,0.010534242812645563,0.02475700375096417,0.005531508136774579,0.03015025349118073,0.005246205124757178,0.004549443694925441,0.0029351437072101787
68,99,23,4,0.7926360269526617,0.02132003602870957,0.02225131613008633,0.04442967912663063,0.01197899053732519,0.08107277974335327,0.010523374882268535,0.009676151475900719,0.006111645123064233
69,90,21,1,0.6732946844867609,0.02899940375642491,0.03313278233628161,0.05764961722888934,0.01799101169136994,0.15064511835593739,0.014954228212422644,0.014384093563761392,0.008949060368152042
70,220,104,9,0.030645929336349707,0.3316851520523527,0.008241741209026219,0.595366210178055,0.004636781404644804,0.008084046452967251,0.011975884717086131,0.004711872271838023,0.0046523823776801745
71,219,101,6,0.029415065499807456,0.2449904441320331,0.007502923492071824,0.6872637342375865,0.004234959991227839,0.007560409371976254,0.01057581491950994,0.004277667772823686,0.004178980582963583
72,215,99,5,0.024440020073388274,0.1612339384299829,0.00589748935993062,0.7844912621307877,0.0033074174940964417,0.006043757163840804,0.008049285944610124,0.003326117747765837,0.003210711655597327
